name1,name2
"Gaye, Marvin","Temptations, The"
"Gaye, Marvin",Madonna
"Gaye, Marvin","Spears, Britney"
"Gaye, Marvin","Jackson, Michael"
"Simon, Paul","Dylan, Bob"
"Simon, Paul","Dylan, Bob"
"Simon, Paul","Dylan, Bob"
"Simon, Paul","Beach Boys, The"
"Simon, Paul",Simon & Garfunkel
"Simon, Paul","Springsteen, Bruce"
"Simon, Paul","Joel, Billy"
"Simon, Paul","Springsteen, Bruce"
"Simon, Paul","Springsteen, Bruce"
"Simon, Paul","Springsteen, Bruce"
"Simon, Paul","Joel, Billy"
"Simon, Paul","Springsteen, Bruce"
"Simon, Paul","Springsteen, Bruce"
"Simon, Paul","Joel, Billy"
"Simon, Paul","Wonder, Stevie"
"Simon, Paul","Wonder, Stevie"
"Simon, Paul",Simon & Garfunkel
Foreigner,"Houston, Whitney"
"Swift, Taylor","Mayer, John"
"Swift, Taylor","Mayer, John"
"Swift, Taylor",Boys Like Girls
"Swift, Taylor","Mayer, John"
"Swift, Taylor","Perry, Katy"
"Swift, Taylor",Boys Like Girls
"Swift, Taylor",Boys Like Girls
"Swift, Taylor","National, The"
"Swift, Taylor","National, The"
"Swift, Taylor",Boys Like Girls
"Swift, Taylor",Madonna
"Swift, Taylor","National, The"
"Swift, Taylor","Perry, Katy"
"Swift, Taylor",Fall Out Boy
"Swift, Taylor",Fall Out Boy
"Swift, Taylor","National, The"
"Lamar, Kendrick",Busta Rhymes
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick",T.I.
"Lamar, Kendrick",B.o.B
"Lamar, Kendrick",Wiz Khalifa
"Lamar, Kendrick",Gucci Mane
"Lamar, Kendrick",Birdman
"Lamar, Kendrick","Khaled, DJ"
"Lamar, Kendrick",Wale
"Lamar, Kendrick","Ross, Rick"
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick",Birdman
"Lamar, Kendrick","Khaled, DJ"
"Lamar, Kendrick",Foster the People
"Lamar, Kendrick","Khaled, DJ"
"Lamar, Kendrick","Cole, J."
"Lamar, Kendrick",Big Sean
"Lamar, Kendrick",Big Sean
"Lamar, Kendrick",Birdman
"Lamar, Kendrick",Common
"Lamar, Kendrick","Blige, Mary J."
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick",Gucci Mane
"Lamar, Kendrick",Wiz Khalifa
"Lamar, Kendrick",Jay‐Z
"Lamar, Kendrick",50 Cent
"Lamar, Kendrick",Jeezy
"Lamar, Kendrick","Cole, J."
"Lamar, Kendrick",Birdman
"Lamar, Kendrick",T.I.
"Lamar, Kendrick",B.o.B
"Lamar, Kendrick",Kid Cudi
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick","Thicke, Robin"
"Lamar, Kendrick",Birdman
"Lamar, Kendrick","Cole, J."
"Lamar, Kendrick",B.o.B
"Lamar, Kendrick",Tyga
"Lamar, Kendrick","Thicke, Robin"
"Lamar, Kendrick","Ross, Rick"
"Lamar, Kendrick",Jay‐Z
"Lamar, Kendrick",Eminem
"Lamar, Kendrick",Big Sean
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick",2Pac
"Lamar, Kendrick","Keys, Alicia"
"Lamar, Kendrick","Keys, Alicia"
"Lamar, Kendrick","Zimmer, Hans"
"Lamar, Kendrick","Williams, Pharrell"
"Lamar, Kendrick","Brown, Chris"
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick","West, Kanye"
"Lamar, Kendrick",Cher
"Lamar, Kendrick",Jay‐Z
"Lamar, Kendrick",Snoop Dogg
"Lamar, Kendrick",Wiz Khalifa
"Lamar, Kendrick",Snoop Dogg
"Lamar, Kendrick","Ross, Rick"
"Lamar, Kendrick","Swift, Taylor"
"Lamar, Kendrick",Big Sean
"Lamar, Kendrick","Cole, J."
"Lamar, Kendrick",50 Cent
"Lamar, Kendrick",Busta Rhymes
"Lamar, Kendrick",Foster the People
"Lamar, Kendrick",Birdman
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick",Wiz Khalifa
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick",Big Sean
"Lamar, Kendrick","West, Kanye"
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick","Swift, Taylor"
"Lamar, Kendrick","West, Kanye"
"Lamar, Kendrick",T.I.
"Lamar, Kendrick",Beyoncé
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick",T.I.
"Lamar, Kendrick",B.o.B
"Lamar, Kendrick","Khaled, DJ"
"Lamar, Kendrick",Big Sean
"Lamar, Kendrick","Mars, Bruno"
"Lamar, Kendrick",Maroon 5
"Lamar, Kendrick",N.E.R.D
"Lamar, Kendrick",N.E.R.D
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick",Big Sean
"Lamar, Kendrick",Gucci Mane
"Lamar, Kendrick",Rihanna
"Lamar, Kendrick","Keys, Alicia"
"Lamar, Kendrick","Khaled, DJ"
"Lamar, Kendrick","Cole, J."
"Lamar, Kendrick",N.E.R.D
"Lamar, Kendrick",N.E.R.D
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick",Rihanna
"Lamar, Kendrick",Jeezy
"Lamar, Kendrick","Cole, J."
"Lamar, Kendrick","Thicke, Robin"
"Lamar, Kendrick",Maroon 5
"Lamar, Kendrick",Snoop Dogg
"Lamar, Kendrick","Game, The"
"Lamar, Kendrick","Williams, Pharrell"
"Lamar, Kendrick","Williams, Pharrell"
"Lamar, Kendrick",Busta Rhymes
"Lamar, Kendrick","Jackson, Michael"
"Lamar, Kendrick",Beyoncé
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick",Wiz Khalifa
"Lamar, Kendrick",Eminem
"Lamar, Kendrick","West, Kanye"
"Lamar, Kendrick",Jay‐Z
"Lamar, Kendrick",Maroon 5
"Lamar, Kendrick","Cole, J."
"Lamar, Kendrick",Birdman
"Lamar, Kendrick",Snoop Dogg
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick","Blige, Mary J."
"Lamar, Kendrick",Beyoncé
"Lamar, Kendrick",Beyoncé
"Lamar, Kendrick",Ramones
"Lamar, Kendrick","Swift, Taylor"
"Lamar, Kendrick",Wiz Khalifa
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick",Snoop Dogg
"Lamar, Kendrick",T.I.
"Lamar, Kendrick","Dre, Dr."
"Lamar, Kendrick","West, Kanye"
"Lamar, Kendrick",T.I.
"Lamar, Kendrick",B.o.B
"Lamar, Kendrick",Jay‐Z
"Lamar, Kendrick",Jeezy
"Lamar, Kendrick","Brown, Chris"
"Lamar, Kendrick",Jeezy
"Lamar, Kendrick","Brown, Chris"
